Date,Open,High,Low,Close,Volume
2016/2/10 下午 4:00:00,186.41,188.34,185.12,185.27,148214057
2016/2/11 下午 4:00:00,182.34,184.1,181.09,182.86,219058885
2016/2/12 下午 4:00:00,184.96,186.65,183.96,186.63,127632393
2016/2/16 下午 4:00:00,188.77,189.81,187.63,189.78,120250668
2016/2/17 下午 4:00:00,191.16,193.32,191.01,192.88,136009496
2016/2/18 下午 4:00:00,193.2,193.27,191.72,192.09,102342997
2016/2/19 下午 4:00:00,191.17,192.18,190.45,192,114792988
2016/2/22 下午 4:00:00,193.87,194.95,193.79,194.78,103640292
2016/2/23 下午 4:00:00,194,194.32,192.18,192.32,111455289
2016/2/24 下午 4:00:00,190.63,193.53,189.32,193.2,150812152
2016/2/25 下午 4:00:00,193.73,195.55,192.83,195.54,110728317
2016/2/26 下午 4:00:00,196.57,196.68,194.9,195.09,129833663
2016/2/29 下午 4:00:00,195.11,196.23,193.33,193.56,125918102
2016/3/1 下午 4:00:00,195.01,198.21,194.45,198.11,141799687
2016/3/2 下午 4:00:00,197.74,199.06,197.25,199,102414960
2016/3/3 下午 4:00:00,198.79,199.8,198.11,199.78,95172197
2016/3/4 下午 4:00:00,200.01,201.35,199.03,200.43,129293601
2016/3/7 下午 4:00:00,199.34,201.07,199.25,200.59,100218998
2016/3/8 下午 4:00:00,199.32,199.92,198.21,198.4,123974866
2016/3/9 下午 4:00:00,199.36,199.79,198.43,199.38,94801213
2016/3/10 下午 4:00:00,199.96,201.07,197.38,199.54,156838697
2016/3/11 下午 4:00:00,201.26,202.81,199.52,202.76,137964528
2016/3/14 下午 4:00:00,202.16,203.04,201.77,202.5,73611974
2016/3/15 下午 4:00:00,201.36,202.53,201.05,202.17,93169090
2016/3/16 下午 4:00:00,201.6,203.82,201.55,203.34,129303179
2016/3/17 下午 4:00:00,203.24,205.23,202.77,204.63,30078084
2016/3/18 下午 4:00:00,204.17,204.78,203.8,204.38,138372404
2016/3/21 下午 4:00:00,204.07,204.94,203.8,204.67,72926659
2016/3/22 下午 4:00:00,203.76,205.23,203.57,204.56,97471939
2016/3/23 下午 4:00:00,204.11,204.33,203.01,203.21,81052455
2016/3/24 下午 4:00:00,202,203.16,201.74,203.12,84360853
2016/3/28 下午 4:00:00,203.61,203.86,202.71,203.24,62408185
2016/3/29 下午 4:00:00,202.76,205.25,202.4,205.12,92922863
2016/3/30 下午 4:00:00,206.3,206.87,205.59,206.02,86365310
2016/3/31 下午 4:00:00,205.91,206.41,205.33,205.52,94584110
2016/4/1 下午 4:00:00,204.35,207.14,203.98,206.92,114423478
2016/4/4 下午 4:00:00,206.83,207.07,205.89,206.25,63496969
2016/4/5 下午 4:00:00,204.67,206.26,203.89,204.19,99662158
2016/4/6 下午 4:00:00,204.29,206.49,203.98,206.42,91839761
2016/4/7 下午 4:00:00,205.14,205.56,203.09,203.95,113859037
2016/4/8 下午 4:00:00,205.34,205.85,203.87,204.5,95040598
2016/4/11 下午 4:00:00,205.25,206.07,203.91,204.02,83757486
2016/4/12 下午 4:00:00,204.22,206.25,203.7,205.92,115350567
2016/4/13 下午 4:00:00,207,208.1,206.84,208,96336433
2016/4/14 下午 4:00:00,208.07,208.6,207.6,208.01,65212883
2016/4/15 下午 4:00:00,208.01,208.17,207.4,207.78,75761615
2016/4/18 下午 4:00:00,207.14,209.28,207,209.24,82530960
2016/4/19 下午 4:00:00,209.74,210.2,208.94,209.9,88316060
2016/4/20 下午 4:00:00,209.95,210.92,209.39,210.1,81100314
2016/4/21 下午 4:00:00,210.12,210.25,208.65,208.97,85695041
2016/4/22 下午 4:00:00,208.55,209.29,207.91,208.97,99251724
2016/4/25 下午 4:00:00,208.26,208.66,207.54,208.61,66166494
2016/4/26 下午 4:00:00,209.04,209.52,208.36,208.92,75864174
2016/4/27 下午 4:00:00,208.47,209.81,208.05,209.35,77329437
2016/4/28 下午 4:00:00,208.46,209.76,206.96,207.45,97216169
2016/4/29 下午 4:00:00,206.72,207.13,205.03,206.33,142424137
2016/5/2 下午 4:00:00,206.92,208.18,206.41,207.97,62188015
2016/5/3 下午 4:00:00,206.52,206.8,205.28,206.16,106422142
2016/5/4 下午 4:00:00,204.99,205.85,204.42,205.01,92243810
2016/5/5 下午 4:00:00,205.56,205.98,204.47,204.97,67619222
2016/5/6 下午 4:00:00,204.06,205.77,203.88,205.72,89315004
2016/5/9 下午 4:00:00,205.57,206.4,205.36,205.89,74374922
2016/5/10 下午 4:00:00,206.72,208.5,206.64,208.45,77472207
2016/5/11 下午 4:00:00,207.91,208.54,206.5,206.5,81726989
2016/5/12 下午 4:00:00,207.29,207.49,205.37,206.56,89586308
2016/5/13 下午 4:00:00,206.21,206.86,204.38,204.76,96474630
2016/5/16 下午 4:00:00,204.96,207.34,204.89,206.78,77486827
2016/5/17 下午 4:00:00,206.46,206.8,204.23,204.85,114924940
2016/5/18 下午 4:00:00,204.44,206.3,203.63,204.91,123493379
